guid,rd_id
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134753,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134753
https://doi.org/10.6084/m9.figshare.12678938,https://doi.org/10.6084/m9.figshare.12678938
https://www.ebi.ac.uk/pride/archive/projects/PXD016334,https://www.ebi.ac.uk/pride/archive/projects/PXD016334
https://doi.org/10.6084/m9.figshare.12770366,https://doi.org/10.6084/m9.figshare.12770366
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115103,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115103
http://dx.doi.org/10.2210/pdb6yga/pdb,http://dx.doi.org/10.2210/pdb6yga/pdb
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148394,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148394
https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8152/,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8152/
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144542,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144542
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144397,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144397
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR6870406,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR6870406
https://www.ebi.ac.uk/ena/browser/view/PRJEB37249?show=reads,https://www.ebi.ac.uk/ena/browser/view/PRJEB37249?show=reads
http://raeslab.org/software/BMIS/,http://raeslab.org/software/BMIS/
https://doi.org/10.18112/openneuro.ds001734.v1.0.4,https://doi.org/10.18112/openneuro.ds001734.v1.0.4
https://github.com/poldrack/narps/tree/master/ImageAnalyses,https://github.com/poldrack/narps/tree/master/ImageAnalyses
https://openneuro.org/datasets/ds001734/versions/1.0.4,https://openneuro.org/datasets/ds001734/versions/1.0.4
http://flowrepository.org/id/FR-FCM-Z2K3,http://flowrepository.org/id/FR-FCM-Z2K3
https://www.ebi.ac.uk/ena/browser/view/PRJEB39602?show=reads,https://www.ebi.ac.uk/ena/browser/view/PRJEB39602?show=reads
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125521,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125521
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123417,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123417
https://www.ebi.ac.uk/pride/archive/projects/PXD006921,https://www.ebi.ac.uk/pride/archive/projects/PXD006921
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158731,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158731
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3911434,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3911434
https://www.synapse.org/#!Synapse:syn21052009,https://www.synapse.org/#!Synapse:syn21052009
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148405,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148405
https://submission.gpcrmd.org/home/,https://submission.gpcrmd.org/home/
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109381,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109381
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE88826,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE88826
https://www.ebi.ac.uk/pride/archive/projects/PXD016782,https://www.ebi.ac.uk/pride/archive/projects/PXD016782
https://doi.org/10.17632/nr7cs764rc.1,https://doi.org/10.17632/nr7cs764rc.1
https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6713/,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6713/
https://doi.org/10.6084/m9.figshare.9585410,https://doi.org/10.6084/m9.figshare.9585410
https://www.ncbi.nlm.nih.gov/nuccore/MG963186,https://www.ncbi.nlm.nih.gov/nuccore/MG963186
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55235,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55235
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=ERR3132486,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=ERR3132486
